"","EMPLOYER_NAME","WORK_STATE","JOB_TITLE_SUBGROUP","PAID_WAGE_PER_YEAR"
"1","NETFLIX, INC.","California","data scientist",230000
"2","EBH ENTERPRISES, INC.","New York","data scientist",185000
"3","BED BATH AND BEYOND, INC.","New Jersey","data scientist",175000
"4","ENERNOC, INC.","Massachusetts","data scientist",155000.04
"5","MICROSOFT CORPORATION","Washington","data scientist",152000
"6","VMWARE, INC.","Texas","data scientist",140000
