"EMPLOYER_NAME","WORK_STATE","JOB_TITLE_SUBGROUP","PREVAILING_WAGE_PER_YEAR"
"FIREEYE, INC.","California","data analyst",136448
"NETFLIX, INC.","California","data analyst",134534
"QUIXEY","California","data analyst",134534
"APPLE INC.","California","data analyst",128190
"TWO SIGMA INVESTMENTS, LLC","New York","data analyst",123739
"MACHINE ZONE, INC.","California","data analyst",122096
