"","EMPLOYER_NAME","WORK_STATE","JOB_TITLE_SUBGROUP","PAID_WAGE_PER_YEAR"
"1","NETFLIX, INC.","California","data scientist",230000
"2","EBH ENTERPRISES, INC.","New York","data scientist",185000
"3","MICROSOFT CORPORATION","Washington","data scientist",152000
"4","TARGET CORPORATION","Minnesota","data scientist",131789
"5","GE CAPITAL CORPORATION","Connecticut","data scientist",125000
