"","EMPLOYER_NAME","WORK_STATE","JOB_TITLE_SUBGROUP","PAID_WAGE_PER_YEAR"
"1","NETFLIX, INC.","California","data analyst",220000
"2","AMICUS SYSTEMS INC","New York","data analyst",166400
"3","WORLDQUANT, LLC","Connecticut","data analyst",140000
"4","RANDSTAD TECHNOLOGIES LP","Minnesota","data analyst",118000
"5","JPMORGAN CHASE & CO.","Washington","data analyst",110000
